Id,Designator,Package,Designation,,Item Name,Part Number,,,Vendor,Quantity,Cost Per Item,,Cost,,Comments,URL
1,"U21,U23,U20,U22",1088A5_8x8matrix,1088A5_8x8_LED_Matrix,,HiLetgo MAX7219 Dot Matrix,B07FFV537V,,,Amazon,4,,,8.49,,You can also desolder the MAX7219 from here,https://www.amazon.com/gp/product/B07FFV537V/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
3,"R63,R62,R64,R65",R_0603_HandSoldering,10K,,0603 Resistor 10K,RHM10KADCT-ND,,,Digikey,8,0.1,,0.8,,,https://www.digikey.com/product-detail/en/rohm-semiconductor/ESR03EZPF1002/RHM10KADCT-ND/1983753
4,"U8,U4,U1,U2,U3,U5,U6,U7,U9,U10,U11,U12,U13,U14,U15",LSHD-A101,7-Segment_Display_CA,,"DISPLAY 7-SEG 0.3"" SGL RED 10DIP",160-1572-5-ND,,,Digikey,15,1.056,,15.84,,,https://www.digikey.com/product-detail/en/lite-on-inc/LSHD-A101/160-1572-5-ND/560005
5,"U16,U17,U18,U19",SOIC-24W_7.5x15.4mm_Pitch1.27mm,MAX_7219,,MAX7219CWG+T,MAX7219CWG+TCT-ND,,,Digikey,4,8.95,,8.95,,Can desolder from: https://www.amazon.com/gp/product/B07FFV537V/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,https://www.digikey.com/product-detail/en/maxim-integrated/MAX7219CWG-T/MAX7219CWG-TCT-ND/4146791
6,"C1,C2,C3,C4",C_0603_HandSoldering,10uF,,10uF 0603 Capacitor,490-10728-1-ND,,,Digikey,4,0.32,,0.64,,,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R61C106KAALD/490-10728-1-ND/5251372
7,"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61",R_0603_HandSoldering,500,,0603 Resistor 500,RHM510DCT-ND,,,Digikey,61,0.1,,0.7,,,https://www.digikey.com/product-detail/en/rohm-semiconductor/ESR03EZPJ511/RHM510DCT-ND/1762937
8,J1,Clock_Board,Conn_01x02,,CONN HDR 2POS 0.1 GOLD PCB,S7035-ND,,,Digikey,1,0.33,,0.33,,,https://www.digikey.com/product-detail/en/sullins-connector-solutions/PPPC021LFBN-RC/S7035-ND/810174
9,J1,Clock_Board,Conn_01x03,,CONN HDR 3POS 0.1 GOLD PCB,S7036-ND,,,Digikey,1,0.37,,0.37,,,https://www.digikey.com/product-detail/en/sullins-connector-solutions/PPPC031LFBN-RC/S7036-ND/810175
